97,S/RES/903 (1994),UN Angola Verification Mission II
98,S/RES/902 (1994),Cyprus
99,S/RES/901 (1994),UN Observer Mission in Georgia
100,S/RES/900 (1994),"Sarajevo, Bosnia and Herzegovina"
101,S/RES/899 (1994),Iraq and Kuwait
102,S/RES/898 (1994),UN Operation in Mozambique
103,S/RES/897 (1994),UN Operation in Somalia II
104,S/RES/896 (1994),"Abkhazia, Georgia"
105,S/RES/895 (1994),UN Interim Force in Lebanon
106,S/RES/894 (1994),Election process in South Africa
107,S/RES/893 (1994),UN Assistance Mission for Rwanda and implementation of the Arusha Peace Agreement
108,S/RES/892 (1993),"Abkhazia, Georgia"
109,S/RES/891 (1993),Rwanda
110,S/RES/890 (1993),Angola
111,S/RES/889 (1993),Cyprus
112,S/RES/888 (1993),El Salvador
113,S/RES/887 (1993),Israel-Syrian Arab Republic
114,S/RES/886 (1993),Somalia
115,S/RES/885 (1993),Somalia
116,S/RES/884 (1993),Armenia-Azerbaijan
117,S/RES/883 (1993),Libyan Arab Jamahiriya
118,S/RES/882 (1993),Mozambique
119,S/RES/881 (1993),"Abkhazia, Georgia"
120,S/RES/880 (1993),Cambodia
121,S/RES/879 (1993),Mozambique
122,S/RES/878 (1993),Somalia
123,S/RES/877 (1993),International Criminal Tribunal for the former Yugoslavia (ICTY)
124,S/RES/876 (1993),"Abkhazia, Georgia"
125,S/RES/875 (1993),Haiti
126,S/RES/874 (1993),Armenia-Azerbaijan
127,S/RES/873 (1993),Haiti
128,S/RES/872 (1993),Rwanda
129,S/RES/871 (1993),Former Yugoslavia
130,S/RES/870 (1993),Former Yugoslavia
131,S/RES/869 (1993),Former Yugoslavia
132,S/RES/868 (1993),Peacekeeping Operations
133,S/RES/867 (1993),Haiti
134,S/RES/866 (1993),Liberia
135,S/RES/865 (1993),Somalia
136,S/RES/864 (1993),Angola
137,S/RES/863 (1993),Mozambique
138,S/RES/862 (1993),Haiti
139,S/RES/861 (1993),Haiti
140,S/RES/860 (1993),Cambodia
141,S/RES/859 (1993),Bosnia and Herzegovina
142,S/RES/858 (1993),"Abkhazia, Georgia"
143,S/RES/857 (1993),International Criminal Tribunal for the former Yugoslavia (ICTY)
144,S/RES/856 (1993),Liberia
145,S/RES/855 (1993),Federal Republic of Yugoslavia
146,S/RES/854 (1993),"Abkhazia, Georgia"
147,S/RES/853 (1993),Armenia-Azerbaijan
148,S/RES/852 (1993),Israel-Lebanon
149,S/RES/851 (1993),Angola
150,S/RES/850 (1993),Mozambique
151,S/RES/849 (1993),"Abkhazia, Georgia"
152,S/RES/848 (1993),Admission of a Admission of a new Member: Andorra
153,S/RES/847 (1993),Former Yugoslavia
154,S/RES/846 (1993),Rwanda
155,S/RES/845 (1993),Former Yugoslav Republic of Macedonia
156,S/RES/844 (1993),Bosnia and Herzegovina
157,S/RES/843 (1993),Former Yugoslavia
158,S/RES/842 (1993),Former Yugoslav Republic of Macedonia
159,S/RES/841 (1993),Haiti
160,S/RES/840 (1993),Cambodia
161,S/RES/839 (1993),Cyprus
162,S/RES/838 (1993),Bosnia and Herzegovina
163,S/RES/837 (1993),Somalia
164,S/RES/836 (1993),Bosnia and Herzegovina
